term,language,sightings,offense_level
dingo fucker,English,59 sightings,Extremely offensive
dingo fuckers(plural ofdingo fucker),English,8 sightings(Recent),-
dink,English,414 sightings(Recent),Extremely offensive
dinkladies(variant ofdink)  (plural ofdinklady),English,-,-
dinklady(variant ofdink),English,-,-
dinks(plural ofdink),English,413 sightings(Recent),-
div,English,-,Highly offensive
divs(plural ofdiv),English,-,-
divvies(plural ofdivvy),English,"1,108 sightings(Recent)",-
divvy(variant ofdiv),English,-,Highly offensive
dog eater,English,-,-
dog eaters(plural ofdog eater),English,-,-
dogan,English,2 sightings,Extremely offensive
dogans(plural ofdogan),English,66 sightings,-
dogun(variant ofdogan),English,63 sightings(Recent),Extremely offensive
doguns(plural ofdogun),English,1 sighting,-
dole bludger(variant ofbludger),English,"3,517 sightings(Recent)",Extremely offensive
dole bludgers(plural ofdole bludger),English,"2,761 sightings(Recent)",-
domes,English,-,Highly offensive
dot head,English,31 sightings(Recent),Highly offensive
dot heads(plural ofdot head),English,51 sightings(Recent),Highly offensive
dres(transliteration ofdrɛs),English,-,-
dresiarz(variant ofdres),English,51 sightings(Recent),-
dune coon(variant ofsand nigger),English,"1,235 sightings",Extremely offensive
dune coons(plural ofdune coon),English,204 sightings,-
dune nigger(variant ofsand nigger),English,12 sightings,Extremely offensive
dune niggers(plural ofdune nigger),English,2 sightings,Extremely offensive
durka durka(variant ofderka derka),English,258 sightings(Recent),-
durka durkas(variant ofderka derka)  (plural ofdurka durka),English,49 sightings(Recent),-
dyke,English,"1,632 sightings(Recent)",Extremely offensive
dyke jumper,English,47 sightings(Recent),Mildly offensive
dyke jumpers(plural ofdyke jumper),English,8 sightings,Mildly offensive
dykes(plural ofdyke),English,"1,243 sightings(Recent)",Highly offensive
egg,English,-,Moderately offensive
eggplant,English,-,Moderately offensive
eggs(plural ofegg),English,-,-
eh hole,English,15 sightings,Mildly offensive
eh holes(plural ofeh hole),English,8 sightings(Recent),-
eight ball,English,1 sighting,Extremely offensive
eight balls(plural ofeight ball),English,-,-
eshay,English,857 sightings(Recent),-
eshays(plural ofeshay),English,"1,113 sightings(Recent)",Moderately offensive
eurotrash,English,928 sightings(Recent),Extremely offensive
eyetie,English,437 sightings(Recent),Highly offensive
eyeties(plural ofeyetie),English,95 sightings(Recent),-
fag,English,"2,599 sightings(Recent)",Extremely offensive
fagbag,English,"1,517 sightings(Recent)",Extremely offensive
fagbags(plural offagbag),English,204 sightings(Recent),-
fagdick(variant offag),English,3 sightings,-
fagdicks(variant offag)  (plural offagdick),English,-,-
faggot(variant offag),English,"4,882 sightings(Recent)",Extremely offensive
faggots(plural offaggot),English,"2,889 sightings(Recent)",Extremely offensive
faggy(variant offag),English,"2,510 sightings(Recent)",Extremely offensive
fags(plural offag),English,-,-
fagshit(variant offag),English,66 sightings(Recent),Extremely offensive
fagshits(variant offag)  (plural offagshit),English,-,-
fairies(plural ofFairy),English,-,-
featherhead,English,-,-
featherheads(plural offeatherhead),English,-,-
feminazi,English,204 sightings(Recent),-
feminazis(plural offeminazi),English,125 sightings(Recent),-
fez,English,-,Extremely offensive
fezzes(plural offez),English,570 sightings(Recent),-
filthypino,English,3 sightings,Extremely offensive
filthypinoes(variant offilthypinos),English,-,Moderately offensive
filthypinos(plural offilthypino),English,6 sightings,-
fish wagon,English,1 sighting,Moderately offensive
flip,English,-,Extremely offensive
flipabeano,English,-,Highly offensive
flipabeanos(plural offlipabeano),English,1 sighting,Moderately offensive
flipette(variant offlip),English,39 sightings(Recent),-
flipettes(variant offlip)  (plural offlipette),English,7 sightings,-
flips(plural offlip),English,"1,031 sightings(Recent)",-
floppies(plural offloppy),English,-,-
floppy,English,-,-
fog nigger,English,2 sightings,Extremely offensive
fog niggers(plural offog nigger),English,1 sighting,-
four by two,English,2 sightings,Highly offensive
four by twos(plural offour by two),English,-,-
fresh off the boat,English,-,Moderately offensive
frog,English,-,Highly offensive
frogs(plural offrog),English,-,-
fruit,English,1 sighting,Moderately offensive
fruities(variant offruit)  (plural offruity),English,814 sightings(Recent),-
fruits(plural offruit),English,-,Moderately offensive
fruity(variant offruit),English,-,Moderately offensive
fudgepacker,English,"1,573 sightings(Recent)",Highly offensive
fudgepackers(plural offudgepacker),English,809 sightings(Recent),Highly offensive
fuzzies(plural offuzzy),English,-,-
fuzzy,English,-,Highly offensive
fuzzy wuzzies(plural offuzzy wuzzy),English,-,-
fuzzy wuzzy,English,-,Highly offensive
gable,English,-,Highly offensive
gables(plural ofgable),English,-,-
gas huffer,English,-,-
gas huffers(plural ofgas huffer),English,-,-
gash,English,-,Extremely offensive
gasher(variant ofgash),English,-,-
gashes(plural ofgash),English,-,-
gator bait(variant ofalligator bait),English,564 sightings(Recent),Highly offensive
gay,English,1 sighting,Extremely offensive
gay mafia,English,938 sightings(Recent),-
gaylord(variant ofgay),English,189 sightings(Recent),Highly offensive
gaylords(plural ofgaylord),English,663 sightings(Recent),-
gender nigger,English,6 sightings,Extremely offensive
gew,English,-,Extremely offensive
gews(plural ofgew),English,205 sightings(Recent),-
gey(variant ofgay),English,-,Highly offensive
ghetto,English,-,Highly offensive
ghetto hamster,English,17 sightings,Highly offensive
ghetto hamsters(plural ofghetto hamster),English,3 sightings,-
ghetto monkey(variant ofporch monkey),English,181 sightings(Recent),-
ghetto monkeys(plural ofghetto monkey),English,132 sightings(Recent),-
ghey(variant ofgay),English,"1,274 sightings(Recent)",Highly offensive
gheys(variant ofgay)  (plural ofghey),English,"1,115 sightings(Recent)",Highly offensive
ghost,English,-,Extremely offensive
ghosts(plural ofghost),English,-,-
gimp,English,739 sightings(Recent),Extremely offensive
gimps(plural ofgimp),English,"1,121 sightings(Recent)",-
gimpy(variant ofgimp),English,962 sightings(Recent),Highly offensive
gin,English,-,Extremely offensive
gin jockey,English,12 sightings(Recent),Highly offensive
gin jockeys(plural ofgin jockey),English,4 sightings(Recent),-
ginger,English,1 sighting,Mildly offensive
gingers(plural ofginger),English,-,Mildly offensive
gingette(variant ofginger),English,1 sighting,-
gingettes(variant ofginger)  (plural ofgingette),English,1 sighting,-
gingie(variant ofginger),English,-,-
gingies(variant ofginger)  (plural ofgingie),English,-,-
gingy(variant ofginger),English,-,Mildly offensive
gink,English,-,-
ginks(plural ofgink),English,-,-
gins(plural ofgin),English,-,-
ginzo(variant ofguinea),English,72 sightings,Highly offensive
ginzos(plural ofginzo),English,56 sightings(Recent),-
gipp(variant ofgyppo),English,-,Highly offensive
gippo(variant ofgyppo),English,983 sightings(Recent),Extremely offensive
gippos(plural ofgippo),English,306 sightings(Recent),-
gipps(plural ofgipp),English,229 sightings(Recent),-
globalist,English,-,Extremely offensive
globalists(plural ofglobalist),English,522 sightings(Recent),-
goatfucker,English,-,Extremely offensive
goi(variant ofgoy),English,-,Highly offensive
golliwog,English,364 sightings(Recent),Extremely offensive
golliwogs(plural ofgolliwog),English,"1,497 sightings(Recent)",-
goloid,English,-,-
goloids(plural ofgoloid),English,-,-
goober,English,"2,099 sightings(Recent)",Extremely offensive
goobers(plural ofgoober),English,"1,047 sightings(Recent)",-
good goy,English,359 sightings(Recent),-
good goys(plural ofgood goy),English,115 sightings(Recent),-
gook,English,702 sightings(Recent),Extremely offensive
gook eye(variant ofgook),English,8 sightings,Extremely offensive
gook eyed(variant ofgook eyes),English,3 sightings,-
gook eyes(plural ofgook eye),English,30 sightings,-
gookette(variant ofgook),English,1 sighting,Extremely offensive
gookettes(variant ofgook)  (plural ofgookette),English,10 sightings,-
gookie(variant ofgook),English,-,-
gookies(plural ofgookie),English,-,-
gooklet(variant ofgook),English,-,Highly offensive
gooklets(variant ofgook)  (plural ofgooklet),English,-,Extremely offensive
gooks(plural ofgook),English,962 sightings(Recent),Extremely offensive
gooky eyes(variant ofgook eyes),English,11 sightings(Recent),-
gooky(variant ofgook),English,488 sightings(Recent),Extremely offensive
gopnik(transliteration ofго́пник),English,-,-
gopniks(plural ofgopnik),English,514 sightings(Recent),-
greaseball,English,-,Highly offensive
greaseballs(plural ofgreaseball),English,890 sightings(Recent),-
greaser(variant ofgreaseball),English,-,Extremely offensive
greasers(plural ofgreaser),English,785 sightings(Recent),-
groid,English,997 sightings(Recent),Extremely offensive
groids(plural ofgroid),English,"1,695 sightings(Recent)",-
guala,English,"2,445 sightings(Recent)",Extremely offensive
guala guala(variant ofguala),English,25 sightings,Highly offensive
guala gualas(plural ofguala guala),English,73 sightings(Recent),-
gualas(plural ofguala),English,166 sightings(Recent),Extremely offensive
gub,English,4 sightings,Highly offensive
gubba(variant ofgub),English,137 sightings(Recent),Highly offensive
gubbas(plural ofgubba),English,131 sightings(Recent),-
gubs(plural ofgub),English,33 sightings,-
guidette,English,445 sightings(Recent),Highly offensive
guidettes(plural ofguidette),English,323 sightings(Recent),-
guido,English,40 sightings(Recent),Highly offensive
guidos(plural ofguido),English,398 sightings(Recent),-
guinea,English,-,Highly offensive
guineas(plural ofguinea),English,241 sightings(Recent),-
gun burglar(variant ofgin jockey),English,-,Extremely offensive
gun burglars(plural ofgun burglar),English,-,-
gurrier,English,418 sightings(Recent),Extremely offensive
gurriers(plural ofgurrier),English,264 sightings(Recent),-
gyp(variant ofgyppo),English,11 sightings,Highly offensive
gypo(variant ofgyppo),English,"7,813 sightings(Recent)",Extremely offensive
gypoes(variant ofgypos)  (plural ofgypo),English,11 sightings(Recent),-
gypos(plural ofgypo),English,"3,788 sightings(Recent)",-
gypped(plural ofgyp),English,963 sightings(Recent),Moderately offensive
gyppie(variant ofgyppo),English,12 sightings,Extremely offensive
gyppies(plural ofgyppie),English,6 sightings,-
gyppo,English,"2,712 sightings(Recent)",Extremely offensive
gyppoes(variant ofgypos)  (plural ofgyppo),English,3 sightings,-
gyppos(plural ofgyppo),English,733 sightings(Recent),-
gyppy(variant ofgyppo),English,93 sightings(Recent),Extremely offensive
gyps(plural ofgyp),English,69 sightings(Recent),Moderately offensive
gypsi(variant ofgypsy),English,-,-
gypsies(plural ofgypsy),English,470 sightings(Recent),-
gypsy,English,180 sightings(Recent),Highly offensive
hadji(variant ofhaji),English,70 sightings,Highly offensive
hadjis(plural ofhadji),English,100 sightings(Recent),-
hairyback,English,48 sightings,Highly offensive
hairybacks(plural ofhairyback),English,14 sightings(Recent),-
haji,English,62 sightings(Recent),Highly offensive
hajis(plural ofhaji),English,183 sightings(Recent),-
hajji(variant ofhaji),English,61 sightings(Recent),Highly offensive
hajjis(plural ofhajji),English,228 sightings(Recent),-
halala,English,142 sightings(Recent),Extremely offensive
halalability(variant ofhalalification),English,-,Extremely offensive
halalification,English,11 sightings(Recent),Extremely offensive
half bred(variant ofhalf breed),English,-,-
half breed,English,22 sightings,Extremely offensive
half breeds(plural ofhalf breed),English,35 sightings,-
halfrican,English,437 sightings(Recent),Highly offensive
halfricans(plural ofhalfrican),English,424 sightings(Recent),Extremely offensive
harambe,English,-,Extremely offensive
hatzi(variant ofhaji),English,6 sightings,-
hatzis(plural ofhatzi),English,14 sightings,-
hayseed,English,"1,682 sightings(Recent)",Highly offensive
hayseeds(plural ofhayseed),English,"1,559 sightings(Recent)",-
hebe,English,71 sightings(Recent),Extremely offensive
hebes(plural ofhebe),English,129 sightings(Recent),-
hebro,English,243 sightings(Recent),Extremely offensive
hebros(plural ofhebro),English,104 sightings(Recent),Extremely offensive
heeb(variant ofhebe),English,452 sightings(Recent),Highly offensive
heebs(plural ofheeb),English,"1,818 sightings(Recent)",Highly offensive
heinie,English,-,Highly offensive
heinies(plural ofheinie),English,"1,721 sightings(Recent)",Highly offensive
hick,English,14 sightings,Highly offensive
hicks(plural ofhick),English,-,-
higger,English,407 sightings(Recent),Highly offensive
higgers(plural ofhigger),English,"1,047 sightings(Recent)",Moderately offensive
hillbillies(plural ofhillbilly),English,"1,225 sightings(Recent)",-
hillbilly,English,"2,323 sightings(Recent)",Highly offensive
himbo,English,977 sightings(Recent),Mildly offensive
ho,English,-,Extremely offensive
hodgie(variant ofhaji),English,6 sightings(Recent),Highly offensive
hodgies(plural ofhodgie),English,9 sightings(Recent),-
hoe(variant ofho),English,-,Highly offensive
hoes(plural ofhoe),English,-,Highly offensive
holohoax,English,450 sightings(Recent),Extremely offensive
honkey(variant ofhonky),English,"1,953 sightings(Recent)",Moderately offensive
honkeye(variant ofhonky),English,15 sightings,Highly offensive
honkie(variant ofhonky),English,"5,187 sightings(Recent)",Highly offensive
honkies(plural ofhonkie),English,"4,298 sightings(Recent)",-
honklet,English,26 sightings(Recent),Highly offensive
honklets(plural ofhonklet),English,33 sightings,-
honky,English,44 sightings,Moderately offensive
hoodrat,English,"2,897 sightings(Recent)",Highly offensive
hoodrats(plural ofhoodrat),English,"1,705 sightings(Recent)",Highly offensive
hooknose,English,216 sightings(Recent),-
hooknosed(variant ofhooknose),English,297 sightings(Recent),-
hooknoses(plural ofhooknose),English,31 sightings(Recent),-
hoosier,English,-,Extremely offensive
hoosiers(plural ofhoosier),English,-,Extremely offensive
hori,English,120 sightings(Recent),Highly offensive
hories(plural ofhori),English,20 sightings,-
hos(plural ofho),English,114 sightings(Recent),-
hoser,English,807 sightings(Recent),Mildly offensive
hosers(plural ofhoser),English,939 sightings(Recent),Mildly offensive
house nigger,English,"2,992 sightings(Recent)",Extremely offensive
house niggers(plural ofhouse nigger),English,"1,316 sightings(Recent)",-
hymie,English,691 sightings(Recent),Highly offensive
hymies(plural ofhymie),English,35 sightings(Recent),Moderately offensive
ice monkey,English,281 sightings(Recent),Highly offensive
ice monkeys(plural ofice monkey),English,262 sightings(Recent),-
ice nigger,English,52 sightings,Extremely offensive
ice niggers(plural ofice nigger),English,7 sightings,-
ike(variant ofikey),English,-,Extremely offensive
ikes(plural ofike),English,155 sightings(Recent),-
ikey,English,-,Extremely offensive
ikey mo(variant ofikey),English,3 sightings,Extremely offensive
ikey mos(plural ofikey mo),English,-,-
ikeys(plural ofikey),English,63 sightings,-
iky(variant ofikey),English,-,Highly offensive
injun,English,6 sightings,Extremely offensive
injuns(plural ofinjun),English,"2,721 sightings(Recent)",-
island nigger,English,82 sightings,Extremely offensive
island niggers(plural ofisland nigger),English,17 sightings,-
jackeen,English,394 sightings(Recent),-
jackeens(plural ofjackeen),English,-,-
jant,English,248 sightings(Recent),Moderately offensive
jants(plural ofjant),English,188 sightings(Recent),-
japie,English,53 sightings,Extremely offensive
japies(plural ofjapie),English,13 sightings,-
jew-fucked(variant ofjew-fucker),English,-,Extremely offensive
jew-fucker,English,5 sightings,Extremely offensive
jewbag,English,116 sightings(Recent),Extremely offensive
jewbagg(variant ofjewbag),English,-,Extremely offensive
jewtard,English,42 sightings,Extremely offensive
jewtarded(variant ofjewtard),English,10 sightings,Extremely offensive
jhant(variant ofjant),English,170 sightings(Recent),Moderately offensive
jhants(plural ofjhant),English,33 sightings(Recent),-
jig(variant ofjigaboo),English,-,Extremely offensive
jigaboo,English,"4,689 sightings(Recent)",Extremely offensive
jigaboos(plural ofjigaboo),English,"2,204 sightings(Recent)",Extremely offensive
jigarooni(variant ofjigaboo),English,8 sightings,Extremely offensive
jigaroonis(plural ofjigarooni),English,-,-
jigg(variant ofjigaboo),English,25 sightings,Extremely offensive
jigga,English,3 sightings,Extremely offensive
jiggabo(variant ofjigaboo),English,422 sightings(Recent),Extremely offensive
jiggaboo(variant ofjigaboo),English,"4,732 sightings(Recent)",Extremely offensive
jiggaboos(plural ofjiggaboo),English,"4,155 sightings(Recent)",Extremely offensive
jiggabos(plural ofjiggabo),English,27 sightings(Recent),-
jiggas(plural ofjigga),English,95 sightings,-
jigger,English,25 sightings,Extremely offensive
jiggers(plural ofjigger),English,52 sightings,Extremely offensive
jiggs(plural ofjigg),English,12 sightings,-
jigro,English,79 sightings(Recent),Extremely offensive
jigroes(plural ofjigro),English,-,Extremely offensive
jigros(plural ofjigro),English,2 sightings,Extremely offensive
jigs(plural ofjig),English,-,-
jihadi-american,English,-,-
jihadi-americans(plural ofjihadi-american),English,-,-
jijjiboo(variant ofjigaboo),English,3 sightings,Extremely offensive
jijjiboos(plural ofjijjiboo),English,-,Highly offensive
jipsi(variant ofgypsy),English,-,Moderately offensive
jit,English,1 sighting,Moderately offensive
jock,English,-,Highly offensive
jockie(variant ofjock),English,74 sightings(Recent),Highly offensive
jockies(plural ofjockie),English,-,-
jocks(plural ofjock),English,-,-
jocky(variant ofjock),English,317 sightings(Recent),Highly offensive
jungle bunny,English,"2,643 sightings(Recent)",Extremely offensive
jungle bunnys(plural ofjungle bunny),English,37 sightings(Recent),-
kanaka,English,19 sightings,Extremely offensive
khazar,English,341 sightings(Recent),Extremely offensive
khazars(plural ofkhazar),English,92 sightings(Recent),-
kike,English,100 sightings(Recent),Extremely offensive
kikes(plural ofkike),English,"2,042 sightings(Recent)",Extremely offensive
kikesberg(variant ofkike),English,2 sightings,Extremely offensive
knacker,English,"3,855 sightings(Recent)",Extremely offensive
knackers(plural ofknacker),English,-,-
kneegroes(plural ofkneegrow),English,"1,580 sightings(Recent)",-
kneegrow,English,"3,643 sightings(Recent)",Extremely offensive
kotiya(variant oftiger),English,3 sightings,Highly offensive
kotiyas(plural ofkotiya),English,17 sightings,-
kraut,English,416 sightings(Recent),Highly offensive
krauts(plural ofkraut),English,"2,243 sightings(Recent)",Moderately offensive
kunt(variant ofcunt),English,126 sightings(Recent),Highly offensive
kyke(variant ofkike),English,252 sightings(Recent),Extremely offensive
kykes(plural ofkyke),English,206 sightings(Recent),-
latrino,English,79 sightings(Recent),Highly offensive
latrinos(plural oflatrino),English,148 sightings(Recent),-
lavender mafia(variant ofgay mafia),English,-,-
lawn jockey,English,-,Extremely offensive
lawn jockeys(plural oflawn jockey),English,-,-
lefties(plural oflefty),English,-,-
lefty,English,-,Highly offensive
lemonhead,English,392 sightings(Recent),Highly offensive
lemonheads(plural oflemonhead),English,-,-
leprechaun,English,1 sighting,Highly offensive
leprechauns(plural ofleprechaun),English,-,-
libtard,English,"1,543 sightings(Recent)",Mildly offensive
limey,English,874 sightings(Recent),Mildly offensive
limeys(plural oflimey),English,"1,209 sightings(Recent)",-
ling ling,English,37 sightings,Extremely offensive
ling lings(plural ofling ling),English,323 sightings(Recent),-
lipstick lesbian,English,604 sightings(Recent),-
lipstick lesbians(plural oflipstick lesbian),English,216 sightings(Recent),-
lobby gay,English,-,Mildly offensive
lowlander,English,108 sightings(Recent),Highly offensive
lowlanders(plural oflowlander),English,-,-
lubra,English,42 sightings,Extremely offensive
lubras(plural oflubra),English,26 sightings(Recent),-
lugan,English,24 sightings(Recent),Highly offensive
lugans(plural oflugan),English,12 sightings,-
machosexual,English,3 sightings(Recent),-
mack(variant ofmick),English,-,Extremely offensive
mackerel snapper,English,18 sightings,Moderately offensive
mackerel snappers(plural ofmackerel snapper),English,32 sightings,Moderately offensive
macks(plural ofmack),English,-,-
mammy,English,39 sightings,Extremely offensive
mangia cake,English,153 sightings(Recent),Highly offensive
mangia cakes(plural ofmangia cake),English,34 sightings,-
meatball patriot,English,-,-
meatball patriots(plural ofmeatball patriot),English,-,Highly offensive
mick,English,135 sightings(Recent),Moderately offensive
mickey(variant ofmick),English,-,Moderately offensive
mickeys(plural ofmickey),English,-,Mildly offensive
micks(plural ofmick),English,-,Mildly offensive
mil bag(variant ofspide),English,37 sightings(Recent),Extremely offensive
mil bags(plural ofmil bag),English,12 sightings(Recent),-
millie(variant ofspide),English,229 sightings(Recent),Extremely offensive
millies(plural ofmillie),English,-,-
moch(variant ofmocky),English,-,Extremely offensive
mochs(plural ofmoch),English,72 sightings(Recent),Highly offensive
mock(variant ofmocky),English,-,Highly offensive
mockey(variant ofmocky),English,312 sightings(Recent),Highly offensive
mockeys(plural ofmockey),English,18 sightings(Recent),-
mockie(variant ofmocky),English,14 sightings,Highly offensive
mockies(plural ofmockie),English,26 sightings(Recent),Moderately offensive
mocks(plural ofmock),English,-,-
mocky,English,60 sightings(Recent),Extremely offensive
moke,English,62 sightings(Recent),Extremely offensive
mokes(plural ofmoke),English,176 sightings(Recent),-
mokies(plural ofmoky),English,47 sightings(Recent),Extremely offensive
moky(variant ofmocky),English,57 sightings(Recent),Extremely offensive
mong,English,112 sightings(Recent),Extremely offensive
mongol,English,-,Extremely offensive
mongoloid,English,377 sightings(Recent),Highly offensive
mongoloids(plural ofmongoloid),English,420 sightings(Recent),-
mongols(plural ofmongol),English,-,-
mongrel,English,-,-
mongs(plural ofmong),English,"3,726 sightings(Recent)",-
monkey,English,-,Extremely offensive
monkeys(plural ofmonkey),English,-,Extremely offensive
mook,English,-,Highly offensive
mooks(plural ofmook),English,20 sightings,Moderately offensive
moolinyan(variant ofmoulignon),English,44 sightings(Recent),Extremely offensive
moon cricket,English,"3,454 sightings(Recent)",Extremely offensive
moon crickets(plural ofmoon cricket),English,"1,524 sightings(Recent)",Extremely offensive
moss eater,English,34 sightings(Recent),Extremely offensive
moss eaters(plural ofmoss eater),English,12 sightings,-
mosshead,English,547 sightings(Recent),Highly offensive
mossheads(plural ofmosshead),English,72 sightings(Recent),-
moulie,English,563 sightings(Recent),Extremely offensive
moulies(plural ofmoulie),English,24 sightings(Recent),-
moulignon(variant ofmoulie),English,79 sightings,Extremely offensive
moulignons(plural ofmoulignon),English,2 sightings,-
moulinyan(variant ofmoulie),English,163 sightings(Recent),Extremely offensive
moulinyans(plural ofmoulinyan),English,51 sightings,-
moxies(plural ofmoxy),English,557 sightings(Recent),-
moxy(variant ofmocky),English,-,Highly offensive
mud duck(variant ofmud person),English,"1,571 sightings(Recent)",Extremely offensive
mud ducks(plural ofmud duck),English,615 sightings(Recent),-
mud person,English,47 sightings(Recent),Extremely offensive
mud persons(plural ofmud person),English,3 sightings(Recent),-
mud shark,English,"1,305 sightings(Recent)",Extremely offensive
mud sharks(plural ofmud shark),English,826 sightings(Recent),-
mudblood,English,-,-
mudshit(variant ofshitskinned),English,-,Extremely offensive
mudslime,English,-,-
muk,English,1 sighting,Highly offensive
muks(plural ofmuk),English,-,-
muktuk(variant ofmuk),English,-,Highly offensive
muktuks(plural ofmuktuk),English,-,-
mulato,English,236 sightings(Recent),Highly offensive
mulatto(variant ofmulato),English,529 sightings(Recent),Extremely offensive
mulignan(variant ofmoulie),English,246 sightings,Highly offensive
mulignans(plural ofmulignan),English,73 sightings(Recent),Moderately offensive
mullatoes(plural ofmulatto),English,29 sightings(Recent),-
mung,English,-,Extremely offensive
mungs(plural ofmung),English,164 sightings(Recent),-
munt(variant ofmunter),English,-,Extremely offensive
munter,English,777 sightings(Recent),Extremely offensive
munters(plural ofmunter),English,"1,360 sightings(Recent)",-
munts(plural ofmunt),English,400 sightings(Recent),-
musla,English,193 sightings(Recent),Extremely offensive
muslamic,English,"1,017 sightings(Recent)",Highly offensive
muslimal,English,15 sightings(Recent),Highly offensive
muslimette,English,-,Extremely offensive
muslimic,English,-,-
mussie,English,288 sightings(Recent),-
mussies(plural ofmussie),English,792 sightings(Recent),-
mutah(variant ofmuttah),English,263 sightings(Recent),Extremely offensive
mutt,English,-,Highly offensive
muttah,English,183 sightings(Recent),Extremely offensive
mutts(plural ofmutt),English,-,-
muzrat(variant ofmuzzrat),English,70 sightings(Recent),Extremely offensive
muzrats(plural ofmuzrat),English,83 sightings(Recent),-
muzzie,English,"7,070 sightings(Recent)",Highly offensive
muzzies(plural ofmuzzie),English,"4,098 sightings(Recent)",-
muzzpig,English,1 sighting,Extremely offensive
muzzpigs(plural ofmuzzpig),English,-,Mildly offensive
muzzrat,English,304 sightings(Recent),Extremely offensive
muzzrats(plural ofmuzzrat),English,349 sightings(Recent),-
muzzy,English,"1,054 sightings(Recent)",Highly offensive
nacho,English,-,Highly offensive
nachos(plural ofnacho),English,-,-
nafri,English,93 sightings(Recent),Highly offensive
nafris(plural ofnafri),English,104 sightings(Recent),-
nappyhead,English,293 sightings(Recent),Extremely offensive
neche(variant ofnitchie),English,-,Moderately offensive
neches(plural ofneche),English,41 sightings,-
ned,English,1 sighting,Extremely offensive
neds(plural ofned),English,-,-
neechee(variant ofnitchie),English,131 sightings(Recent),Extremely offensive
neechees(plural ofneechee),English,3 sightings,-
neejee(variant ofnitchie),English,51 sightings(Recent),Extremely offensive
neejees(plural ofneejee),English,-,-
negro,English,172 sightings(Recent),Extremely offensive
net head,English,1 sighting,Highly offensive
net heads(plural ofnet head),English,-,Highly offensive
newfie,English,158 sightings(Recent),Moderately offensive
newfies(plural ofnewfie),English,307 sightings(Recent),Moderately offensive
nicca(variant ofnigger),English,"6,643 sightings(Recent)",Extremely offensive
niccas(plural ofnicca),English,"2,265 sightings(Recent)",Highly offensive
nichi(variant ofnitchie),English,-,Highly offensive
nichis(plural ofnichi),English,89 sightings,-
nichiwa(variant ofnitchie),English,119 sightings(Recent),Extremely offensive
nichiwas(plural ofnichiwa),English,-,-
nidge(variant ofnitchie),English,-,Highly offensive
nidges(plural ofnidge),English,22 sightings,-
nig nog(variant ofnigger),English,"6,974 sightings(Recent)",Extremely offensive
nig nogs(plural ofnig nog),English,"5,926 sightings(Recent)",-
nig(variant ofnigger),English,679 sightings(Recent),Extremely offensive
nigar(variant ofnigger),English,54 sightings,Extremely offensive
nigars(plural ofnigar),English,204 sightings(Recent),-
niger(variant ofnigger),English,72 sightings(Recent),Extremely offensive
nigers(plural ofniger),English,648 sightings(Recent),-
nigette(variant ofnigger),English,327 sightings(Recent),Extremely offensive
nigettes(plural ofnigette),English,321 sightings(Recent),-
nigga(variant ofnigger),English,"4,502 sightings(Recent)",Highly offensive
niggah(variant ofnigger),English,"2,903 sightings(Recent)",Extremely offensive
niggahs(plural ofniggah),English,"2,251 sightings(Recent)",Extremely offensive
niggar(variant ofnigger),English,"5,569 sightings(Recent)",Extremely offensive
niggars(plural ofniggar),English,"4,574 sightings(Recent)",-
niggas(plural ofnigga),English,"2,553 sightings(Recent)",Mildly offensive
nigger,English,"5,982 sightings(Recent)",Extremely offensive
nigger-knock,English,1 sighting,Extremely offensive
nigger-rig,English,20 sightings,Extremely offensive
niggera,English,308 sightings(Recent),Extremely offensive
niggerdick,English,48 sightings,-
niggerdicks(plural ofniggerdick),English,9 sightings,-
niggerette,English,198 sightings(Recent),Extremely offensive
niggerettes(variant ofnigger)  (plural ofniggerette),English,285 sightings,-
niggerfag,English,25 sightings,Extremely offensive
niggerization(variant ofniggerize),English,115 sightings(Recent),Extremely offensive
niggerize,English,125 sightings(Recent),Extremely offensive
niggers(plural ofnigger),English,"3,678 sightings(Recent)",Extremely offensive
niggerton,English,48 sightings,-
niggertown,English,44 sightings,Extremely offensive
niggerville,English,197 sightings(Recent),Extremely offensive
niggerwool,English,-,Extremely offensive
nigglet(variant ofniglet),English,"5,830 sightings(Recent)",Extremely offensive
nigglets(plural ofnigglet),English,"5,455 sightings(Recent)",-
niggor(variant ofnigger),English,227 sightings(Recent),Extremely offensive
niggors(plural ofniggor),English,282 sightings(Recent),-
niggress(variant ofnigger),English,"3,227 sightings(Recent)",Extremely offensive
nigguh(variant ofnigger),English,"6,375 sightings(Recent)",Extremely offensive
nigguhs(plural ofnigguh),English,"5,461 sightings(Recent)",Extremely offensive
niggur(variant ofnigger),English,"7,791 sightings(Recent)",Extremely offensive
niggurs(plural ofniggur),English,"4,507 sightings(Recent)",-
niglet,English,"6,165 sightings(Recent)",Extremely offensive
niglets(plural ofniglet),English,"6,205 sightings(Recent)",Extremely offensive
niglette(variant ofniglet),English,209 sightings(Recent),Extremely offensive
nigor(variant ofnigger),English,91 sightings(Recent),Extremely offensive
nigors(plural ofnigor),English,30 sightings,-
nigra(variant ofnigger),English,187 sightings(Recent),Extremely offensive
nigras(plural ofnigra),English,666 sightings(Recent),-
nigre(variant ofnigger),English,90 sightings(Recent),Extremely offensive
nigres(plural ofnigre),English,32 sightings(Recent),-
nigs(plural ofnig),English,999 sightings(Recent),-
ninja,English,-,Highly offensive
